,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
244,2166740,BOO BAE TEA 1,BOO BAE TEA 1,2594973.0,Restaurant,Risk 2 (Medium),1013 W Webster AVE ,CHICAGO,IL,60614.0,2018-04-26,License,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED FLOOR DRAIN INSIDE WASHROOM WITHOUT A COVER. MUST PROVIDE COVER FLOOR DRAIN AND MAINTAIN. 
OBSERVED EXPOSED HAND WASHING SINK DRAINING SLOW IN FOOD PREP AREA. MUST REPAIR AND MAINTAIN.",41.9216198406,-87.6540505858,"(41.92161984057171, -87.65405058579164)"
383,2166718,MARIANO AZUELA ELEMENTARY,MARIANO AZUELA ELEMENTARY,1982068.0,School,Risk 1 (High),4707 W MARQUETTE RD ,CHICAGO,IL,60629.0,2018-04-26,Canvass Re-Inspection,Pass,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: CORRECTED. HOT RUNNING WATER UNDER PRESSURE PROVIDED AT TOILET ROOM HANDSINKS.",41.7710515775,-87.7399232501,"(41.77105157748324, -87.73992325012671)"
389,2166707,LINDA'S MAGIC BROWNIES,LINDA'S MAGIC BROWNIES,2590088.0,Mobile Prepared Food Vendor,Risk 3 (Low),3109 N BROADWAY ,CHICAGO,IL,60657.0,2018-04-25,License,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: FOUND NO BUSINESS NAME AND LICENSE NUMBER AT LATERAL SIDES OF CART. MUST PROVIDE LETTERING AT LEAST 2 INCHES IN HEIGHT.
",41.9380542449,-87.6441865757,"(41.93805424492949, -87.64418657572729)"
412,2166706,BREE'S THAI RICE & NOODLE,BREE'S THAI RICE & NOODLE,2113557.0,Restaurant,Risk 1 (High),5306 S CENTRAL AVE ,CHICAGO,IL,60638.0,2018-04-25,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED THE FRONT SMALL BOX FREEZER (EXCESSIVE ICE) INSTRUCTED TO DEFROST AND CLEAN.",41.7961742454,-87.7625775298,"(41.79617424542868, -87.76257752982983)"
426,2166705,YSABEL'S FILIPINO CUISINE,YSABEL'S GRILL ASIAN CUISINE,2013419.0,Restaurant,Risk 1 (High),4908 W Irving Park RD ,CHICAGO,IL,60641.0,2018-04-25,Canvass,Pass,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CLEANING EQUIPMENT (MOP, BROOM ETC) MUST BE STORED OFF THE FLOOR. ",41.9534850151,-87.7502482275,"(41.953485015058135, -87.750248227467)"
468,2166703,LA MICHOACANA ZAMORANA,LA MICHOACANA,2446789.0,Restaurant,Risk 2 (Medium),10533 S EWING AVE ,CHICAGO,IL,60617.0,2018-04-25,Canvass,Out of Business,,41.7035637277,-87.5351389482,"(41.7035637277131, -87.5351389482319)"
553,2166702,"LA MICHOACANA BONITA, INC","LA MICHOACANA BONITA, INC",2594810.0,Restaurant,Risk 2 (Medium),10533 S EWING AVE ,CHICAGO,IL,60617.0,2018-04-25,License,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: LABEL ALL BULK CONTAINERS AND PACKAGED CHIPS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REMOVE MILK CRATES AND PROVIDE ADEQUATE SHELVING IN BASEMENT STORAGE AREA. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REMOVE HOSE AND PROVIDE PROPER SPRAYER/FAUCET FOR HOT AND COLD RUNNING WATER ABOVE ICE CREAM MACHINE IN BASEMENT PREP AREA. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: ALL FOOD HANDLERS MUST WEAR PROPER HAIR RESTRAINTS.",41.7035637277,-87.5351389482,"(41.7035637277131, -87.5351389482319)"
570,2160148,"JULIA'S CAFE, INC.",JULIA'S CAFE,2551449.0,Restaurant,Risk 2 (Medium),3849 W MADISON ST ,CHICAGO,IL,60624.0,2018-04-16,License,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: DETAIL CLEAN THE GREASE ON THE VENTILATION HOOD FILTERS. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: MUST PROVIDE A METAL STEM PROBE THERMOMETER TO TAKE FOOD TEMPERATURES.",41.8806541496,-87.7227380334,"(41.880654149623446, -87.72273803344112)"
585,2160147,CHOPAL KABAB & STEAK,CHOPAL KABAB & STEAK,1520566.0,Restaurant,Risk 1 (High),2240-2242 W DEVON AVE ,CHICAGO,IL,60659.0,2018-04-16,Canvass,No Entry,,41.9978970135,-87.6865860596,"(41.99789701348497, -87.68658605962811)"
599,2166320,WORLD FAMOUS DOG JOINT LLC,DOG JOINT,2418239.0,Restaurant,Risk 1 (High),350 W ARMITAGE AVE ,CHICAGO,IL,60614.0,2018-04-18,Canvass Re-Inspection,Pass,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: CORRECTED. ICE MACHINE HAS BEEN CLEANED AND SANITIZED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CORRECTED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CORRECTED. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: CORRECTED. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED.",41.918437939,-87.6384263281,"(41.91843793897503, -87.63842632810974)"
