,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
32,2150789,MORDECAI BROWN,MORDECAI BROWN,2583351.0,Restaurant,Risk 3 (Low),3632 N CLARK ST ,CHICAGO,IL,60613.0,2018-03-22,License,Not Ready,,41.9480163521,-87.6573396684,"(41.94801635212034, -87.65733966838366)"
49,2150630,CHECKERS,CHECKERS,2583965.0,Restaurant,Risk 2 (Medium),4701-4705 S DAMEN AVE ,CHICAGO,IL,60609.0,2018-03-19,License,Pass,,41.8084210338,-87.6745376969,"(41.80842103384483, -87.67453769687005)"
60,2145937,A P DELI,A P DELI,47405.0,Restaurant,Risk 1 (High),2025 E 75TH ST ,CHICAGO,IL,60649.0,2018-03-06,Canvass,Out of Business,,41.758779401,-87.5750544675,"(41.75877940103819, -87.57505446746121)"
152,2145871,EMERALD LOOP BAR & GRILL,EMERALD LOOP BAR & GRILL,1649268.0,Restaurant,Risk 1 (High),216 N WABASH AVE ,CHICAGO,IL,60601.0,2018-03-02,Canvass Re-Inspection,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VERY WEAK WATER PRESSURE AT EMPLOYEES TOILET ROOM HAND WASH SINK. ,41.8862114893,-87.6264522596,"(41.88621148929766, -87.62645225955077)"
735,2150560,Harlan Comm.,Harlan Comm.,51021.0,School,Risk 1 (High),9652 S Michigan (100E) ,CHICAGO,IL,60628.0,2018-03-19,Canvass,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPLACE MISSING DRAINPIPE AND REPAIR RIGHT WASHBOWL IN MEN WASHROOM NEAR EXIT #4. REPAIR LEAKING RIGHT FAUCET ON 3-COMPARTMENT SINK NEAR EXPOSED SINK. ADJUST TIMED HOT WATER FAUCET ON SINK IN WOMEN WASHROOM NEAR MAIN ENTRANCE.,41.7184007523,-87.6206606912,"(41.71840075227976, -87.62066069121764)"
775,2159271,MC DONALD'S 6039,MC DONALDS,2341076.0,Restaurant,Risk 2 (Medium),5656 W IRVING PARK RD ,CHICAGO,IL,60634.0,2018-03-30,Complaint,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOOR TILES MISSING AROUND HOT WATER TANK.INSTRUCTED MANAGEMENT TO REPLACE FLOOR TILES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED LEAK AT BASE OF FAUCET AT REAR EXPOSED HANDSINK.INSTRUCTED MANAGEMENT TO REPAIR LEAK.",41.9532631107,-87.7693112226,"(41.95326311074034, -87.76931122260137)"
1057,2150559,SUBWAY,SUBWAY,2522465.0,Restaurant,Risk 1 (High),6352 N Milwaukee AVE ,CHICAGO,IL,60646.0,2018-03-19,Complaint Re-Inspection,Pass,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: CORRECTED (INTERIOR SURFACES OF ICE MACHINE HAS BEEN CLEANED AND SANITIZED) | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED",41.9964471776,-87.7872072309,"(41.99644717759783, -87.78720723090356)"
1066,2150530,ARUN'S THAI RESTAURANT,ARUN'S THAI RESTAURANT,14591.0,Restaurant,Risk 1 (High),4156 N KEDZIE AVE ,CHICAGO,IL,60618.0,2018-03-16,Canvass,No Entry,,41.9574472825,-87.7082718321,"(41.95744728247397, -87.70827183208556)"
1097,2150605,SERVING CHICAGO'S FINEST,SERVING CHICAGO'S FINEST,2340652.0,Restaurant,Risk 1 (High),225 S CANAL ST ,CHICAGO,IL,60606.0,2018-03-19,Canvass Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CEILING DUSTY OVER PIZZA HOLDING UNIT. INSTRUCTED TO CLEAN/MAINTAIN",41.8785312784,-87.6394274596,"(41.878531278353606, -87.63942745962717)"
1121,2145792,SUBWAY SANDWICHES & SALADS,SUBWAY SANDWICHES & SALADS,37621.0,Restaurant,Risk 1 (High),5050 N CICERO AVE ,CHICAGO,IL,60630.0,2018-03-02,Canvass Re-Inspection,Pass,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: Violation Corrected.Ice machine has been cleaned and maintained. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Corrected. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Corrected.",41.9729082412,-87.7480617787,"(41.9729082412357, -87.74806177870751)"
1128,2145793,Friedrich L. Jahn Elementary,Friedrich L. Jahn Elementary,23921.0,School,Risk 1 (High),3149 N Wolcott (1900W) ,CHICAGO,IL,60657.0,2018-03-02,Canvass,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: FOUND WALLS WITH MISSING TILES BELOW SINKS AT TEACHER'S AND GIRL'S RESTROOMS 1ST FLOOR. MUST PROVIDE.",41.9392440443,-87.6757728234,"(41.939244044293275, -87.67577282335188)"
