,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
119,2144899,STANS DONUTS,STANS DONUTS,2483123.0,Mobile Food Dispenser,Risk 3 (Low),2800 N CLARK ST ,CHICAGO,IL,60657.0,2018-02-13,License,Pass,,41.9328286998,-87.645080351,"(41.9328286998427, -87.64508035101484)"
136,2144539,MOD PIZZA,MOD PIZZA,2559836.0,Restaurant,Risk 2 (Medium),1000 W NORTH AVE ,CHICAGO,IL,60642.0,2018-02-06,License Re-Inspection,Pass,,41.9109487626,-87.6531595513,"(41.910948762561205, -87.65315955127153)"
158,2144896,RAZAN FOOD MART INC,RAZAN FOOD MART INC,2529284.0,Grocery Store,Risk 2 (Medium),5257 S ASHLAND AVE ,CHICAGO,IL,60609.0,2018-02-13,Canvass,Out of Business,,41.7978225881,-87.6645368783,"(41.79782258812668, -87.66453687828134)"
210,2144895,ALCOCER'S LOCAL SHOP,ALCOCER'S LOCAL SHOP,2578896.0,Grocery Store,Risk 2 (Medium),3413 W 51ST ST ,CHICAGO,IL,60632.0,2018-02-13,License,Not Ready,,41.8006366513,-87.7092737779,"(41.800636651320424, -87.70927377789697)"
227,2144917,LUCKY MEXICAN RESTAURANT,LUCKY MEXICAN RESTAURANT,21943.0,Restaurant,Risk 1 (High),4416 N CLARK ST ,CHICAGO,IL,60640.0,2018-02-07,Canvass,Out of Business,,41.9621597201,-87.6662185739,"(41.962159720050074, -87.6662185738834)"
235,2144707,REVEL  MOTOR ROW,REVEL MOTOR ROW,2477256.0,EVENT SPACE,Risk 1 (High),2400-2410 S MICHIGAN AVE ,CHICAGO,IL,60616.0,2018-02-07,License,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: ALL 3-COMP SINKS MUST HAVE ATTACHED DRAIN BOARDS AS REQUIRED.,41.8492428544,-87.6238608988,"(41.849242854384286, -87.62386089877268)"
765,2144426,POPEYE'S FRIED CHICKEN,POPEYE'S FRIED CHICKEN,1963624.0,Restaurant,Risk 2 (Medium),7430 S STONY ISLAND AVE ,CHICAGO,IL,60649.0,2018-02-01,Complaint,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS IN CORNER AREAS WHERE NEEDED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO CLEAN THE ICE DISPENSER CHUTE AT THE SODA MACHINE IN THE DINING AREA AND MAINTAIN.",41.7597206413,-87.5863104489,"(41.7597206413212, -87.5863104488657)"
799,2144427,JESSE'S MEXICAN GRILL,JESSE'S MEXICAN GRILL,1697103.0,Restaurant,Risk 1 (High),6950 N WESTERN AVE ,CHICAGO,IL,60645.0,2018-02-01,Complaint,Fail,"19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OUTSIDE AREA IN ALLEY AT THE GREASE RECEPTACLE OBSERVED WITH EXCESSIVE GREASE SPILLAGE ON THE GROUND AND FENCE SURROUNDING THE CONTAINER. INSTRUCTED TO REMOVE ALL GREASE FROM THE GROUND. CLEAN AND REMOVE GREASE FROM EXTERIOR OF CONTAINER AND FENCE. SERIOUS VIOLATION 7-38-020. | 6. HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS. - Comments: OBSERVED POOR HYGIENIC PRACTICES OF BARE HAND CONTACT WITH READY TO EAT FOODS. OBSERVED COOK AND CERTIFIED MANAGER HANDLE AND PREPARE READY TO EAT TACOS WITH BARE HANDS. USE BARE HANDS TO GRAB SHREDDED CHEESE FOR TACO TOPPINGS. AFTER OWNER REVIEWED WITH COOK THE PROPER USE OF GLOVES, OBSERVED THE SAME EMPLOYEE REMOVING GLOVES THEN USE BARE HANDS TO FOLD AND ROLL UP A LARGE BURRITO. CRITICAL VIOLATION 7-38-010(A). | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: NO SUMMARY REPORT POSTED FROM INSPECTION MADE ON 7-6-17 #2069515 WITH CRITICAL VIOLATIONS NOTED. GIVEN TODAYS SUMMARY REPORT AND POSTED. SERIOUS VIOLATION 7-42-010(B). | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS FROM 7-6-17 #2069515 NOT CORRECTED. #32- FOUND PLATES INSIDE THE DRY FOOD CONTAINERS ,INSTRUCTED MUST PROVIDE UTENSILS WITH HANDLES. #33- SLIME(WHITE AND BLACK) DRIPPING AT INTERIOR PANELS OF TWO DOOR COOLER UNDER THE PREP UNIT,NEED TO CLEAN AND MAINTAIN. GRIME BUILD-UP AT FOLLOWING:METAL SHELVES,IN PREP AREA,SHELVES INTERIOR OF COOLERS,ICE AND FOOD DEBRIS INSIDE THE REACH-IN FREEZER.NEED TO CLEAN AND MAINTAIN.DIRTY KNIVES STORED INSIDE THE KNIFE RACK,INSTRUCTED ONLY CLEAN KNIVES MUST BE STORED INSIDE THE KNIFE RACK.MUST KEEP KNIFE RACK CLEAN AND FREE FROM GREASE,FOOD ETC. EXCESS WATER INSIDE THE PREP COOLER ,NEED TO REMOVE. #34- GREASE ON FLOOR UNDER AND BEHIND COOKING EQUIPMENT UNDER SHELVES INSIDE WALK-IN COOLER,UNDER THREE COMPARTMENT SINK,AND AROUND HOT WATER TANK. #35-CEILING TILES ABOVE THE PREP TABLE IS SATURATED WITH WATER, ALSO BULGED. MUST REPLACE.WALL FAN AT WEST SIDE BY THE WALK-IN COOLER IS EXTREMELY GREASY,ALSO THE WALL AROUND THE SAID FAN,INSTRUCTED TO CLEAN AND MAINTAIN.#41- REMOVE FROM OUTSIDE AREA BY THE EXIT DOOR ALL EMPTY OIL BOXES,CARDBOARD ETC. MUST KEEP AREA CLEAN. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: BULK SPICE CONTAINERS MUST BE LABELED. 
ALL READY TO EAT FOODS INSIDE THE WALK-IN COOLER MUST BE LABELED. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ALL BOXED ITEMS STORED NEXT TO THE BOX FREEZER IN FRONT HALLWAY MUST BE ELEVATED FROM THE FLOOR 6' OR ABOVE. 
EMPLOYEES MUST NOT STORE PERSONAL BELONGINGS IE: BACK PACKS IN THE FOOD PREP AREA. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: ICE SCOOP MUST BE STORED IN A CLEAN CONTAINER, NOT INSIDE THE ICE. 
ALL COOKS LINE WIPING CLOTHS MUST BE STORED IN A CONTAINER WITH A SANITIZING SOLUTION. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: MUST NOT USE CARDBOARD BOX AS FOOD CONTAINER FOR BAGGED CHIPS. MUST BE WASHABLE CONTAINER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS WITH DIRT AND DEBRIS UNDER THE HIGH CHAIR STORAGE IN DINING ROOM. CRACKED/DAMAGED FLOOR BASEBOARD TILE UNDER THE KITCHEN EXPOSED HAND SINK. MUST REPLACE. DIRTY FLOORS UNDER AND BEHIND KITCHEN WOODEN PREP TABLE AND METAL RACK SHELVING NEXT TO TABLE. 
MUST NOT USE CARD BOARD AS MATTING FOR FLOORS ON THE COOKS LINE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: WALL BEHIND COOKING EQUIPMENT WITH GREASE AND FOOD SPLATTER. MUST CLEAN AND MAINTAIN. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: EXTERIOR OF ALL COOKS LINE EQUIPMENT WITH GREASE AND ENCRUSTED FOOD DEBRIS. DIRTY METAL FOOD CART WITH GREASE. MUST CLEAN AND MAINTAIN ALL. FOOD ENCRUSTED TABLE TOP CAN OPENER AND FOOD PROCESSOR. MUST CLEAN BOTH AFTER EACH USE. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: DIRTY/STAINED LIGHT SHIELD ABOVE THE PREP TABLE IN KITCHEN. MUST CLEAN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST NOT USE DUCT TAPE AS A MEANS OF REPAIR FOR FOOD CONTAINERS. MUST REPLACE. 
MUST REMOVE PEELING PLASTIC PROTECTING LINER ON METAL ICE MACHINE. MUST BE A SMOOTH AND CLEANABLE SURFACE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: STRIPPED HOT HANDLE ON THE NOZZLE OF THE THREE COMPARTMENT SINK. MUST REPAIR/REPLACE. WATER NOZZLE MUST REACH ALL COMPARTMENTS OF THE THREE COMPARTMENT SINK. INSTRUCTED TO USE THE SPRAYER NOZZLE UNTIL REPLACED.",42.0083390101,-87.6903002428,"(42.00833901006407, -87.69030024281686)"
1690,2145389,SUBWAY,SUBWAY,1948306.0,Restaurant,Risk 1 (High),5232 N NAGLE AVE ,CHICAGO,IL,60630.0,2018-02-23,Canvass,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO REMOVE DUSTS ACCUMULATIONS AT HOOD ABOVE THE OVEN AND MAINTAIN. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: INSTRUCTED TO REPLACE BURNT-OUT LIGHT BULBS AT FRONT PREP AREA AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES.",41.9765586649,-87.7880028717,"(41.97655866491372, -87.78800287169886)"
1736,2145381,THE DRINKING BIRD,THE DRINKING BIRD,25098.0,Restaurant,Risk 1 (High),2201 N CLYBOURN AVE ,CHICAGO,IL,60614.0,2018-02-22,Canvass,No Entry,,41.9217396375,-87.6643614169,"(41.92173963746964, -87.66436141694093)"
