,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
0,2176431,CAFE TOUCHE,CAFE TOUCHE,1887592.0,Restaurant,Risk 1 (High),6731 N NORTHWEST HWY ,CHICAGO,IL,60631.0,2018-05-29,Canvass,Fail,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATION(S) NOT CORRECTED FROM INSPECTION REPORT#1995410 DATED: 03/10/2017.
32 	Instructed facility to install and maintain a splashguard to the left of the exposed handsink near the dishmachine. 	06/10/2017 
33 	Observed slight dirt accumulation in the upper interior portion of the ice machine. Instructed facility to clean, sanitize, and maintain. 	06/10/2017 
35 	Observed grease and dirt accumulation in the exhaust hood filter above the grill. Instructed facility to clean and maintain. 	06/10/2017 
38 	Observed leaks at the bottom of the dipper well and underneath the three compartment sink between the wash and rinse compartments. Instructed facility to repair and maintain. 	06/10/2017
 
INSTRUCTED TO CORRECT NOTED VIOLATIONS AND MAINTAIN BY 6/5/2018.
SERIOUS VIOLATION 7-42-090. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: INSTRUCTED TO PROPERLY STORE AND INVERT MULTI-USE POTS/PANS STORED IN KITCHEN SHELVINGS AND SINGLE SERVICE CONTAINERS ON TOP OF THE PREP LINE TO PREVENT CONTAMINATION BEFORE USE AND MAINTAIN. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN THE FOLLOWING FAN COVERS AND SHELVINGS IN WALK-IN-COOLER TO REMOVE DUSTS ACCUMULATIONS/GREASE BUILD-UP,KITCHEN/BASEMENT STORAGE SHELVINGS AND EXTERIOR OF DISHMACHINE,TOPS OF SHELVINGS OVER THE FOOD PREP LINE. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: INSTRUCTED TO REPLACE BURNT-OUT LIGHT BULB IN WALK-IN-COOLER AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: INSTRUCTED TO REPLACE BROKEN ICE DISPENSING UTENSIL FOR THE BASEMENT ICE MACHINE.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS ALONG WALLS AND IN ALL CORNERS THROUGHOUT THE KITCHEN PREP AREA AND BAR AREA REQUIRE A DETAIL CLEANING AND MAINTAIN FLOOR DRY NEAR THE DISHWASHING AREA. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: NO THERMOMETER IN TABLE MILK COOLER NEAR THE BAR.INSTRUCTED TO PROVIDE AND MAINTAIN THERMOMETER IN COOLER.",42.0035215584,-87.8170998251,"(42.003521558416075, -87.81709982508472)"
1,2176420,SWEET PEPPER VENEZUELAN FOOD BAR,SWEET PEPPER VENEZUELAN FOOD BAR,2600801.0,Restaurant,Risk 1 (High),2604 W LAWRENCE AVE ,CHICAGO,IL,60625.0,2018-05-29,License,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTALL A SPLASH GUARD ON THE RIGHT AND LEFT SIDE OF THE MOP SINK SINCE IT IS TOO CLOSE TO THE HAND SINK AND THE 3 COMPT SINK.

INSTALL A METAL DRAIN BOARD ON THE 3 COMP SINK.

 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: BROKEN/CRACKED FLOOR TILES IN THE PREP AREA. MUST REPAIR/REPLACE FLOOR TILES AND MAINTAIN.

MISSING COVING(BASEBOARD) ON THE BACK OF THE STOVE AND ON THE RIGHT SIDE OF THE 2 DOOR REACH IN COOLER. MUST REPAIR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO VENTILATION IN THE EMPLOYEE'S WASHROOM LOCATED IN THE BASEMENT.  MUST INSTALL.

INSTALL A BACK FLOW PREVENTER DEVICE ON THE MOP SINK FAUCET.  | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MISSING PLASTIC LIGHT SHIELD AND END CAPS ON THE LIGHT BULBS ABOVE THE 2 DOOR REACH IN COOLER. MUST PROVIDE.",41.9686790438,-87.6940300983,"(41.96867904377803, -87.69403009829216)"
2,2176411,SANGAMON SPIRITS,SANGAMON SPIRITS,2570055.0,Grocery Store,Risk 3 (Low),935 W 87TH ST ,CHICAGO,IL,60620.0,2018-05-29,License,Pass,,41.7359084057,-87.6474228803,"(41.73590840570721, -87.64742288026997)"
3,2176408,HOTEL MONACO,FISK & CO,2578929.0,Restaurant,Risk 3 (Low),225 N WABASH AVE ,CHICAGO,IL,60601.0,2018-05-29,License,Pass,,41.8864243326,-87.6261682817,"(41.88642433256405, -87.62616828170881)"
4,2176407,HOTEL MONACO,FISK & CO,2578925.0,Restaurant,Risk 3 (Low),225 N WABASH AVE ,CHICAGO,IL,60601.0,2018-05-29,License,Pass,,41.8864243326,-87.6261682817,"(41.88642433256405, -87.62616828170881)"
5,2176409,SANGAMON SPIRITS,SANGAMON SPIRITS,2570052.0,Grocery Store,Risk 3 (Low),935 W 87TH ST ,CHICAGO,IL,60620.0,2018-05-29,License,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ALL SHELVES IN BREAKROOM AND CUTTING BOARDS IN UNUSED PREP AREA. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REPLACE ALL DAMAGED AND MISSING FLOOR TILES IN SECOND FLOOR OFFICE AND REAR STORAGE AREAS. CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN OFFICE AND STORAGE AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: SEAL ALL OPENINGS IN WALLS AND CEILINGS IN SECOND FLOOR OFFICE AREA AND REAR STORAGE AREAS.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: PROVIDE MECHANICAL VENTILATION IN WASHROOMS. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE ALL UNUSED EQUIPMENT AND ARTICLES IN STORAGE AREAS TO PREVENT PEST HARBAROGE. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPLACE ALL SOILED CARDBOARD TRAYS ON CHIP DISPLAY SHELVES. REPLACE MISSING FAN COVER INSIDE WALK-IN COOLER.",41.7359084057,-87.6474228803,"(41.73590840570721, -87.64742288026997)"
6,2176406,HOTEL MONACO,FISK & CO,2578930.0,Restaurant,Risk 3 (Low),225 N WABASH AVE ,CHICAGO,IL,60601.0,2018-05-29,License,Pass,,41.8864243326,-87.6261682817,"(41.88642433256405, -87.62616828170881)"
7,2176405,TACO BELL CANTINA,TACO BELL CANTINA,2583742.0,Restaurant,Risk 2 (Medium),203 E OHIO ST ,CHICAGO,IL,60611.0,2018-05-29,License,Pass,,41.8924529079,-87.6224908328,"(41.892452907944126, -87.6224908327819)"
8,2176402,TACO BELL CANTINA,TACO BELL CANTINA,2523554.0,Restaurant,Risk 2 (Medium),203 E OHIO ST ,CHICAGO,IL,60611.0,2018-05-29,Canvass,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED DUST/DIRT BUILD UP ON FLOOR AT FRONT PREP AREA UNDER EQUIPMENT/ALONG WALLS. INSTRUCTED MANAGER TO CLEAN FLOOR UNDER AND AROUND ALL EQUIPMENT. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED DUST/LITTER INSIDE SODA MACHINE CABINET AND INSIDE UNUSED REACH IN PREP COOLER. INSTRUCTED MANAGER TO CLEAN INTERIOR OF SODA CABINET AND UNUSED REACH IN COOLER.",41.8924529079,-87.6224908328,"(41.892452907944126, -87.6224908327819)"
9,2176366,STARBUCKS COFFEE  #2635,STARBUCKS COFFEE  #2635,1276339.0,Restaurant,Risk 2 (Medium),4753 N BROADWAY ,CHICAGO,IL,60640.0,2018-05-25,Complaint,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NOTED ONE OF THREE STALLS INSIDE THE WOMENS BATHROOM CLOGGED. INSTRUCTED TO REPAIR AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: NOTED DIRTY AND DUSTY FANS INSIDE THE BATHROOMS. INSTRUCTED TO CLEAN AND MAINTAIN.",41.9687237106,-87.6594140875,"(41.96872371055819, -87.65941408749583)"
